phase,sl,ref,tp,hold_h,score,seconds,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits
sl_full,0.2,wap,0.012,0.0,-57.219956166267686,7.552404403686523,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.2,wap,0,7491.149429506677,-25.08850570493323,152.72041464275054,3122,98.5906470211403,0.7047015184948819,80.25032039313967,0.9792468233831685,24948.683633953053,939.6691223574632,78.0,174844.0,3078,43,0
sl_full,0.25,wap,0.012,0.0,-44.687257492005436,7.199657917022705,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.25,wap,0,8713.30338525314,-12.866966147468595,152.72041464275054,2496,98.91826923076923,0.7233399919635497,79.45278341609638,0.9887877639674161,23680.279604131287,1175.339342948718,79.5,295410.0,2469,26,0
sl_full,0.3,wap,0.012,0.0,-51.2617144197753,7.059970140457153,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.3,wap,0,8165.662798415752,-18.343372015842473,152.72041464275054,2219,99.09869310500225,0.7288493357102388,82.18568449864082,0.9802001424546072,18836.288952861865,1322.0581342947273,89.0,295410.0,2199,19,0
sl_full,0.4,wap,0.012,0.0,24.73158746228883,7.181210994720459,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.4,wap,0,15489.643590521338,54.89643590521338,152.72041464275054,1952,99.43647540983606,0.7769927859937789,75.28688002978406,1.0379128896833558,30888.870539590553,1502.892930327869,86.5,295410.0,1941,10,0
refine,0.0,p0,0.012,6.0,-299.28974679097,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,p0,360,71.02532090299957,-99.28974679097,152.72041464275054,13483,70.54068085737596,0.3634876765310173,99.4077610960432,0.8356436855311666,17179.663098096345,217.58117629607653,249.0,360.0,7856,0,5626
refine,0.0,p0,0.012,12.0,-298.2014073860492,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,p0,720,179.85926139507995,-98.2014073860492,152.72041464275054,9165,80.20731042007637,0.47375483273677027,98.75271549209516,0.8582639663264107,17357.432937385638,320.0924168030551,212.0,720.0,6823,0,2341
refine,0.0,p0,0.012,24.0,-295.39407181458614,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,p0,1440,460.59281854138305,-95.39407181458617,152.72041464275054,6721,87.08525517036155,0.5427495426445436,97.50912273421696,0.8890013144935491,20220.68846769191,436.4896592768933,184.0,1440.0,5713,0,1007
refine,0.0,p0,0.012,48.0,-120.29045519717444,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,p0,2880,1711.4887026709964,-82.88511297329005,152.72041464275054,4876,91.81706316652995,0.5970949773322828,93.46321803236616,0.9234034284764511,24464.28727386009,601.6503281378178,180.0,2880.0,4446,0,429
refine,0.0,p0,0.012,72.0,-122.09531976932556,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,p0,4320,1522.268280005796,-84.77731719994203,152.72041464275054,4224,93.48958333333334,0.6130066235354458,93.2371298649045,0.9024106191309341,18537.72598706802,694.5187026515151,169.0,4320.0,3940,0,283
refine,0.0,p0,0.015,0.0,29.429271069460185,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.0,p0,0,16178.114015995105,61.78114015995104,152.72041464275054,333,99.69969969969969,1.1143767125373194,80.14552683033125,1.2593941818173442,4713.548093795338,8809.75075075075,122.0,1944763.0,332,0,0
refine,0.0,p0,0.015,6.0,-298.7069015981973,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.0,p0,360,129.30984018026837,-98.70690159819732,152.72041464275054,11615,66.66379681446406,0.3993696193579835,98.93453304050092,0.8461899735940932,16435.582944097816,252.57399913904433,360.0,360.0,5466,0,6148
refine,0.0,p0,0.015,12.0,-296.0845222065159,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.0,p0,720,391.54777934841127,-96.08452220651589,152.72041464275054,7509,75.80237048874685,0.5466560525884165,97.70770973049027,0.8899012353283885,19935.280780200097,390.68411239845517,361.0,720.0,4890,0,2618
