entry_time,exit_time,p0,avg_entry,exit_price,qty,cost_quote,proceeds,pnl,pnl_pct,fills,hold_bars,max_dd_from_p0,reason
2021-01-10 07:47:00+00:00,2021-01-10 09:48:00+00:00,1332.99,1326.8235393745722,1342.745421847067,1.260327395454282,1673.9059615689555,1690.6065414344005,16.70057986544498,0.009977011999999983,2,122,0.011087855122694073,take_profit
2021-01-10 09:49:00+00:00,2021-01-10 11:24:00+00:00,1343.93,1317.6058392231746,1276.7335,5.45256397508984,7191.521653970268,6954.509616802474,-237.012037167794,-0.03295714712017106,6,96,0.05501030559627366,stop_loss
2021-01-10 11:25:00+00:00,2021-01-10 11:33:00+00:00,1277.56,1277.56,1292.8907199999999,0.3939035103570838,503.7391077995956,508.7649189229814,5.025811123385779,0.00997701199999984,1,9,0.0018237890979679447,take_profit
2021-01-10 11:34:00+00:00,2021-01-10 12:15:00+00:00,1290.37,1271.3383510734568,1286.5944112863383,4.855017866370034,6178.548957620672,6240.1924147134405,61.643457092768585,0.009977011999999943,5,42,0.041360230011547,take_profit
2021-01-10 12:16:00+00:00,2021-01-10 13:03:00+00:00,1287.34,1281.3847179487177,1296.7613345641023,1.2855436246119187,1648.9248797138298,1665.376223025833,16.451343312003246,0.009977011999999884,2,48,0.009414762222878098,take_profit
2021-01-10 13:04:00+00:00,2021-01-10 13:13:00+00:00,1299.42,1299.42,1315.01304,0.3904720900383459,507.89513837600344,512.9624142663225,5.067275890319081,0.009977012000000068,1,10,0.0018161949177326246,take_profit
2021-01-10 13:14:00+00:00,2021-01-10 15:26:00+00:00,1314.23,1294.8464402700538,1310.3845975532945,4.806202892123962,6229.5242303126615,6291.676268312784,62.15203800012205,0.009977012000000299,5,133,0.029089276610638943,take_profit
2021-01-10 15:27:00+00:00,2021-01-10 16:03:00+00:00,1308.42,1302.3672010956404,1317.9956075087882,1.2752675115637695,1662.529108792301,1679.116181661071,16.587072868770065,0.009977011999999983,2,37,0.0068173827975727,take_profit
2021-01-10 16:04:00+00:00,2021-01-10 17:36:00+00:00,1317.19,1297.762783271811,1251.3305,4.83255544192114,6277.7883890119265,6041.076893399484,-236.71149561244238,-0.03770619220405084,5,93,0.05009148262589301,stop_loss
2021-01-10 17:37:00+00:00,2021-01-10 17:41:00+00:00,1251.21,1251.21,1266.22452,0.3994130745841293,500.2498829333418,505.2408820183663,4.990999085024498,0.009977011999999903,1,5,0.0020939730341030826,take_profit
2021-01-10 17:42:00+00:00,2021-01-10 17:47:00+00:00,1266.44,1266.44,1281.6372800000001,0.3948066497068203,500.49943288759306,505.49292173550583,4.993488847912772,0.009977012000000124,1,6,0.002013518208521489,take_profit
2021-01-10 17:48:00+00:00,2021-01-10 17:57:00+00:00,1284.5,1284.5,1299.914,0.38944987016166505,500.7491073299887,505.7450871828093,4.9959798528205965,0.009977012000000023,1,10,0.0026313740755158498,take_profit
