tag,score,min_flat_mo,hits,all_hit,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,param_breakeven_after_bars,param_breakeven_buffer_pct,crash_2021_05_flat,crash_2021_22_flat,crash_2024_26_flat
cd_stop_loss_pct=0.25,-314.86897464712405,-1.7919847210064308,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.25,wap,0,0,0.001,-1.7919847210064308,-0.7956158181225954,1.3612970827807058
cd_stop_loss_pct=0.3,-146.04527914496686,-3.2049080312697913,1,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.3,wap,0,0,0.001,5.643056015487734,-3.2049080312697913,2.2108767410439
cd_stop_loss_pct=0.35,-280.4825467557693,-3.97299064013405,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.35,wap,0,0,0.001,2.509213798489348,-3.97299064013405,1.6920992841249194
cd_stop_loss_pct=0.4,-347.9111702849816,-3.7136762136901535,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.4,wap,0,0,0.001,-0.32841628695559066,-3.7136762136901535,1.1173857232481188
cd_stop_loss_pct=0.5,-466.9799389758005,-4.793402688721034,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.5,wap,0,0,0.001,-4.793402688721034,-2.968047657651827,-0.4117503289952601
cd_stop_loss_pct=0.6,-471.401341942446,-4.793402688721034,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.6,wap,0,0,0.001,-4.793402688721034,-3.4123522425556274,-0.17584429849705596
cd_stop_loss_ref=p0,-320.43642307782943,-2.6938243610162416,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,p0,0,0,0.001,0.18044390210552042,-2.6938243610162416,1.120457559016913
cd_initial_pct=0.05,-187.62464363334328,-2.93005528859782,1,False,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,5.617749098310431,-2.93005528859782,0.15721820283501664
cd_initial_pct=0.1,-165.61758714526454,-2.755638928462354,1,False,0.1,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,7.739488120628998,-2.755638928462354,0.5693969620127715
cd_initial_pct=0.12,-203.5036891064604,-2.4765948638285034,1,False,0.12,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,6.723620963826342,-2.4765948638285034,-1.056187229580798
