mode,entry_time,exit_time,p0,avg_entry,exit_price,budget,spent,pnl,pnl_pct,fills,hold_bars,reason
recovery,2025-07-20 22:19:00+00:00,2025-07-20 22:36:00+00:00,3697.38,3697.3800000000006,3734.353800000001,63.139347112946055,31.569673556473028,0.25195788035095035,0.007981010000000113,1,18,take_profit
normal,2025-07-20 22:37:00+00:00,2025-07-21 04:24:00+00:00,3741.36,3741.36,3778.7736,63.391304993297005,15.847826248324251,0.1264816597661369,0.00798100999999991,1,348,take_profit
normal,2025-07-21 04:25:00+00:00,2025-07-21 06:26:00+00:00,3774.18,3774.1800000000003,3811.9218000000005,63.51778665306314,15.879446663265785,0.12673402261399147,0.007981010000000038,1,122,take_profit
normal,2025-07-21 06:27:00+00:00,2025-07-21 14:35:00+00:00,3811.75,3811.75,3849.8675,63.644520675677136,15.911130168919284,0.12698688898944432,0.007981009999999863,1,489,take_profit
normal,2025-07-21 14:36:00+00:00,2025-07-21 18:59:00+00:00,3846.75,3788.1700507614205,3731.3475,63.77150756466658,31.88575378233329,-0.5410698342187139,-0.0169690149999998,2,264,stop_loss
recovery,2025-07-21 19:00:00+00:00,2025-07-21 22:40:00+00:00,3736.75,3736.7500000000005,3774.1175000000003,63.23043773044786,31.61521886522393,0.25232137791554266,0.007981010000000057,1,221,take_profit
normal,2025-07-21 22:41:00+00:00,2025-07-22 04:59:00+00:00,3774.35,3716.872588832487,3661.1195,63.4827591083634,31.7413795541817,-0.5386199457756007,-0.016969014999999938,2,379,stop_loss
recovery,2025-07-22 05:00:00+00:00,2025-07-22 05:13:00+00:00,3655.36,3655.36,3691.9136000000003,62.9441391625878,31.4720695812939,0.2511789020490056,0.0079810100000001,1,14,take_profit
normal,2025-07-22 05:14:00+00:00,2025-07-22 15:23:00+00:00,3691.38,3691.38,3728.2938,63.19531806463681,15.798829516159202,0.12609061635676078,0.007981009999999938,1,610,take_profit
normal,2025-07-22 15:24:00+00:00,2025-07-23 00:25:00+00:00,3723.49,3723.4900000000002,3760.7249,63.32140868099357,15.830352170248393,0.12634219897427457,0.007981010000000028,1,542,take_profit
normal,2025-07-23 00:26:00+00:00,2025-07-23 10:13:00+00:00,3753.33,3696.17269035533,3640.7300999999998,63.44775087996785,31.723875439983924,-0.5383229181992171,-0.016969014999999945,2,588,stop_loss
recovery,2025-07-23 10:14:00+00:00,2025-07-24 00:54:00+00:00,3644.89,3607.6972448979586,3643.7742173469383,62.90942796176863,47.18207097132647,0.37656058024286665,0.007981010000000009,2,881,take_profit
normal,2025-07-24 00:55:00+00:00,2025-07-24 06:44:00+00:00,3643.13,3587.650862944163,3533.8361,63.285988542011495,31.642994271005747,-0.536950444429614,-0.016969015000000108,2,350,stop_loss
recovery,2025-07-24 06:45:00+00:00,2025-07-24 07:20:00+00:00,3535.5,3535.5,3570.855,62.74903809758188,31.37451904879094,0.2504003502735941,0.007981010000000099,1,36,take_profit
normal,2025-07-24 07:21:00+00:00,2025-07-24 08:09:00+00:00,3575.36,3575.36,3611.1136,62.999438447855475,15.749859611963869,0.12569978706168072,0.007981010000000061,1,49,take_profit
normal,2025-07-24 08:10:00+00:00,2025-07-24 10:04:00+00:00,3612.13,3612.13,3648.2513000000004,63.12513823491715,15.781284558729288,0.12595058987606755,0.007981010000000222,1,115,take_profit
normal,2025-07-24 10:05:00+00:00,2025-07-24 14:38:00+00:00,3656.56,3656.5599999999995,3693.1255999999994,63.251088824793214,15.812772206198304,0.12620189310539054,0.007981009999999988,1,274,take_profit
normal,2025-07-24 14:39:00+00:00,2025-07-24 14:56:00+00:00,3691.64,3691.64,3728.5564,63.3772907178986,15.84432267947465,0.126453697748115,0.007981010000000064,1,18,take_profit
normal,2025-07-24 14:57:00+00:00,2025-07-24 15:13:00+00:00,3730.18,3730.18,3767.4818,63.50374441564672,15.87593610391168,0.12670600480467797,0.007981009999999863,1,17,take_profit
normal,2025-07-24 15:14:00+00:00,2025-07-25 00:40:00+00:00,3769.63,3712.224467005076,3656.5411,63.630450420451396,31.815225210225698,-0.539873033820701,-0.01696901500000009,2,567,stop_loss
recovery,2025-07-25 00:41:00+00:00,2025-07-25 09:28:00+00:00,3660.38,3660.3800000000006,3696.9838000000004,63.0905773866307,31.54528869331535,0.25176326451423847,0.007981010000000056,1,528,take_profit
normal,2025-07-25 09:29:00+00:00,2025-07-25 10:01:00+00:00,3696.55,3696.55,3733.5155000000004,63.34234065114494,15.835585162786234,0.12638396354004833,0.007981009999999985,1,33,take_profit
normal,2025-07-25 10:02:00+00:00,2025-07-25 14:58:00+00:00,3733.77,3676.9105583756345,3621.7569,63.46872461468499,31.734362307342494,-0.538500870008729,-0.01696901499999999,2,297,stop_loss
recovery,2025-07-25 14:59:00+00:00,2025-07-25 20:28:00+00:00,3626.1,3626.1,3662.361,62.930223744676255,31.465111872338127,0.25112337250424943,0.007981010000000004,1,330,take_profit
normal,2025-07-25 20:29:00+00:00,2025-07-25 21:10:00+00:00,3662.6,3662.6,3699.226,63.18134711718051,15.795336779295127,0.12606274078892277,0.007981010000000037,1,42,take_profit
normal,2025-07-25 21:11:00+00:00,2025-07-26 02:22:00+00:00,3698.05,3698.05,3735.0305000000003,63.30740985796943,15.826852464492358,0.1263142677876381,0.007981009999999997,1,312,take_profit
normal,2025-07-26 02:23:00+00:00,2025-07-26 10:43:00+00:00,3742.94,3742.94,3780.3694,63.43372412575707,15.858431031439267,0.12656629664622443,0.007981009999999832,1,501,take_profit
normal,2025-07-26 10:44:00+00:00,2025-07-27 10:41:00+00:00,3775.7,3775.6999999999994,3813.4569999999994,63.56029042240329,15.890072605600823,0.1268188283660283,0.007981010000000132,1,1438,take_profit
normal,2025-07-27 10:42:00+00:00,2025-07-27 18:17:00+00:00,3815.0,3815.0,3853.15,63.687109250769325,15.921777312692331,0.12707186395036985,0.007981009999999952,1,456,take_profit
normal,2025-07-27 18:18:00+00:00,2025-07-28 02:31:00+00:00,3856.51,3856.51,3895.0751000000005,63.8141811147197,15.953545278679925,0.12732540440459772,0.007981010000000028,1,494,take_profit
normal,2025-07-28 02:32:00+00:00,2025-07-28 05:16:00+00:00,3895.85,3895.8499999999995,3934.8084999999996,63.9415065191243,15.985376629781076,0.12757945073605015,0.007981010000000068,1,165,take_profit
normal,2025-07-28 05:17:00+00:00,2025-07-28 14:17:00+00:00,3935.0,3875.076142131979,3816.95,64.06908596986035,32.03454298493018,-0.5435946404294221,-0.01696901499999991,2,541,stop_loss
recovery,2025-07-28 14:18:00+00:00,2025-07-29 07:34:00+00:00,3813.93,3813.93,3852.0692999999997,63.525491329430935,31.762745664715467,0.2534987907775488,0.007981009999999936,1,1037,take_profit
