stage,param,value,score,param_normal_initial_pct,param_normal_dca_pct,param_normal_dca_drop,param_normal_sl_pct,param_normal_tp_pct,param_recovery_initial_pct,param_recovery_dca1_pct,param_recovery_dca1_drop,param_recovery_dca2_pct,param_recovery_dca2_drop,param_recovery_sl_pct,param_recovery_tp_pct,param_sl_ref,param_fee_rate,param_capital,param_min_equity_frac_of_peak,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,normal_cycles,recovery_cycles,normal_wins,recovery_wins,tp_exits,sl_exits
search:recovery_sl_pct,recovery_sl_pct,0.12,-109.80275818616037,0.25,0.25,0.03,0.08,0.01,0.5,0.25,0.03,0.25,0.05,0.12,0.01,p0,0.001,10000.0,0.0,3241.804320633291,-67.5819567936671,-72.02787586383712,1225,91.42857142857143,0.13720438144022667,71.11913203668723,0.696698498196667,4508.142174759459,499.5926530612245,84.0,11738.0,1121,104,1022,98,1120,104
search:recovery_sl_pct,recovery_sl_pct,0.15,-112.9743482826084,0.25,0.25,0.03,0.08,0.01,0.5,0.25,0.03,0.25,0.05,0.15,0.01,p0,0.001,10000.0,0.0,3022.0086973706075,-69.77991302629393,-72.02787586383712,1226,91.51712887438825,0.13436387643717093,73.07726637994814,0.6769922497336429,4239.187920511867,499.18515497553017,80.0,11738.0,1123,103,1024,98,1122,103
search:recovery_sl_pct,recovery_sl_pct,0.2,-123.47986499213619,0.25,0.25,0.03,0.08,0.01,0.5,0.25,0.03,0.25,0.05,0.2,0.01,p0,0.001,10000.0,0.0,2309.1369248386163,-76.90863075161384,-72.02787586383712,1190,91.59663865546219,0.11829910861176451,79.42816035779538,0.6180548627653919,3608.00961692063,514.2865546218487,84.0,11738.0,1091,99,996,94,1090,99
search:normal_tp_pct,normal_tp_pct,0.006,-200.0206913426214,0.25,0.25,0.03,0.08,0.006,0.5,0.25,0.03,0.25,0.05,0.12,0.01,p0,0.001,10000.0,0.0,1997.9308657378588,-80.0206913426214,-72.02787586383712,1970,94.61928934010152,0.02563945875051034,81.75004333170028,0.5780052752764803,5499.392922813629,310.66040609137053,33.0,11738.0,1865,105,1765,99,1864,105
search:normal_tp_pct,normal_tp_pct,0.008,-118.24105385601217,0.25,0.25,0.03,0.08,0.008,0.5,0.25,0.03,0.25,0.05,0.12,0.01,p0,0.001,10000.0,0.0,2569.061973375589,-74.30938026624412,-72.02787586383712,1490,92.88590604026845,0.077532686401681,76.9103091482162,0.6472072911218861,4944.654015596917,410.73892617449667,61.0,11738.0,1385,105,1285,99,1384,105
search:normal_tp_pct,normal_tp_pct,0.01,-109.80275818616037,0.25,0.25,0.03,0.08,0.01,0.5,0.25,0.03,0.25,0.05,0.12,0.01,p0,0.001,10000.0,0.0,3241.804320633291,-67.5819567936671,-72.02787586383712,1225,91.42857142857143,0.13720438144022667,71.11913203668723,0.696698498196667,4508.142174759459,499.5926530612245,84.0,11738.0,1121,104,1022,98,1120,104
search:normal_tp_pct,normal_tp_pct,0.012,-95.01225602435026,0.25,0.25,0.03,0.08,0.012,0.5,0.25,0.03,0.25,0.05,0.12,0.01,p0,0.001,10000.0,0.0,4374.903117932312,-56.25096882067688,-72.02787586383712,1010,89.70297029702971,0.17391604991735646,61.36413216312234,0.753425886398229,4233.65301628672,605.9415841584158,134.0,11738.0,907,103,806,100,906,103
search:normal_tp_pct,normal_tp_pct,0.015,-92.8718628536686,0.25,0.25,0.03,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.01,p0,0.001,10000.0,0.0,4647.761992358709,-53.522380076412915,-72.02787586383712,825,87.63636363636364,0.2315760171223142,58.91711504946089,0.7836107465305953,3987.4794107936355,741.819393939394,198.0,11738.0,724,101,626,97,723,101
search:normal_tp_pct,normal_tp_pct,0.02,-100.0448073133827,0.25,0.25,0.03,0.08,0.02,0.5,0.25,0.03,0.25,0.05,0.12,0.01,p0,0.001,10000.0,0.0,4345.675500990259,-56.543244990097406,-72.02787586383712,627,83.89154704944178,0.25096412384639477,60.97437398203043,0.7646903745891057,3140.9701755484552,976.0781499202552,306.0,12222.0,527,100,430,96,526,100
search:recovery_tp_pct,recovery_tp_pct,0.008,-101.92759078150254,0.25,0.25,0.03,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.008,p0,0.001,10000.0,0.0,3976.431588130927,-60.235684118690735,-72.02787586383712,876,87.55707762557078,0.20479607601330685,64.75364589792193,0.759672874338471,4076.4422880875672,698.6312785388128,175.0,11738.0,768,108,662,105,767,108
