mode,entry_time,exit_time,p0,avg_entry,exit_price,budget,spent,pnl,pnl_pct,fills,hold_bars,reason
normal,2021-05-19 13:42:00+00:00,2021-05-19 13:46:00+00:00,2579.25,2497.1082802547767,2372.9100000000003,13464.566024266438,5385.826409706575,-278.1047846174406,-0.05163641815789455,2,5,stop_loss
recovery,2021-05-19 13:47:00+00:00,2021-05-19 13:47:00+00:00,2364.03,2364.03,2392.39836,13186.461239648997,6593.230619824499,65.78074101275615,0.009977011999999954,1,1,take_profit
normal,2021-05-19 13:48:00+00:00,2021-05-19 13:53:00+00:00,2450.23,2450.23,2499.2346000000002,13252.241980661754,1987.836297099263,35.70356748892618,0.01796102000000019,1,6,take_profit
normal,2021-05-19 13:54:00+00:00,2021-05-19 14:05:00+00:00,2515.95,2435.824203821656,2314.674,13287.94554815068,5315.178219260271,-274.45676511345664,-0.05163641815789454,2,12,stop_loss
recovery,2021-05-19 14:06:00+00:00,2021-05-19 14:06:00+00:00,2294.85,2294.85,2322.3882,13013.488783037223,6506.744391518611,64.91786687511376,0.009977011999999981,1,1,take_profit
normal,2021-05-19 14:07:00+00:00,2021-05-19 14:07:00+00:00,2379.7,2379.7,2427.294,13078.406649912336,1961.7609974868503,35.23522851108123,0.01796101999999998,1,1,take_profit
normal,2021-05-19 14:08:00+00:00,2021-05-19 14:08:00+00:00,2392.22,2392.22,2440.0643999999998,13113.641878423417,1967.0462817635125,35.33015760768035,0.017961020000000133,1,1,take_profit
normal,2021-05-19 14:09:00+00:00,2021-05-19 14:09:00+00:00,2411.3,2411.3,2459.5260000000003,13148.972036031098,1972.3458054046646,35.425342457789384,0.01796102000000005,1,1,take_profit
normal,2021-05-19 14:10:00+00:00,2021-05-19 14:10:00+00:00,2436.0,2436.0,2484.7200000000003,13184.397378488888,1977.659606773333,35.52078375044812,0.017961020000000074,1,1,take_profit
normal,2021-05-19 14:11:00+00:00,2021-05-19 14:16:00+00:00,2411.87,2411.87,2460.1074,13219.918162239335,1982.9877243359,35.61648217655147,0.017961019999999942,1,6,take_profit
normal,2021-05-19 14:17:00+00:00,2021-05-19 14:21:00+00:00,2444.89,2444.89,2493.7878,13255.534644415886,1988.3301966623828,35.71243842885701,0.01796102000000001,1,5,take_profit
normal,2021-05-19 14:22:00+00:00,2021-05-19 14:23:00+00:00,2472.01,2472.01,2521.4502,13291.247082844744,1993.6870624267115,35.808653201987454,0.017961020000000022,1,2,take_profit
normal,2021-05-19 14:24:00+00:00,2021-05-19 14:46:00+00:00,2507.33,2427.4787261146494,2476.0283006369423,13327.05573604673,5330.822294418692,95.74700584650054,0.0179610200000001,2,23,take_profit
normal,2021-05-19 14:47:00+00:00,2021-05-19 14:56:00+00:00,2467.03,2467.03,2516.3706,13422.802741893232,2013.4204112839848,36.16308427547983,0.017961019999999977,1,10,take_profit
normal,2021-05-19 14:57:00+00:00,2021-05-19 14:57:00+00:00,2514.41,2514.41,2564.6982,13458.965826168711,2018.8448739253065,36.260513157470314,0.017961020000000202,1,1,take_profit
