stage,param,value,score,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees
search:dca_depths,dca_depths,"[0.03, 0.1, 0.2, 0.4]",179.98326531641953,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.2, 0.4]",0.012,0.001,10000.0,0,28691.404885641907,186.91404885641907,153.7360197256392,1472,100.0,0.9977012000000013,66.20522359999697,2.757897841102454,5978.69745463557
search:dca_depths,dca_depths,"[0.04, 0.1, 0.22, 0.45]",120.35171191857208,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.04, 0.1, 0.22, 0.45]",0.012,0.001,10000.0,0,22704.556180402044,127.04556180402045,153.7360197256392,1518,100.0,0.9977012000000014,64.62566590298916,1.8770854033312858,5540.296291536133
search:dca_level_weights,dca_level_weights,"[1, 2, 4, 8]",279.25450349019223,0.05,"[1.0, 2.0, 4.0, 8.0]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,38619.6653841417,286.196653841417,153.7360197256392,1632,100.0,0.9977012000000007,66.28100234149863,2.9831921021114245,8769.116195914106
search:dca_level_weights,dca_level_weights,"[1, 1, 1, 1]",588.5829673155278,0.05,"[1.0, 1.0, 1.0, 1.0]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,69695.32797642899,596.95327976429,153.7360197256392,1510,100.0,0.9977012000000001,75.80208299174768,1.9389853466807543,25049.524339978158
search:dca_level_weights,dca_level_weights,"[1, 2, 3, 4]",295.72498429990156,0.05,"[1.0, 2.0, 3.0, 4.0]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,40287.094412659,302.87094412658996,153.7360197256392,1697,100.0,0.9977012000000016,67.63973217792253,1.9510234472168837,12636.31143873321
search:dca_level_weights,dca_level_weights,"[8, 4, 2, 1]",1683.3384811537278,0.05,"[8.0, 4.0, 2.0, 1.0]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,179224.26295485866,1692.2426295485866,153.7360197256392,1377,100.0,0.997701200000001,79.36098929905843,1.6952528328090568,83771.38138243198
search:dca_level_weights,dca_level_weights,"[1, 3, 5, 7]",194.47795280659153,0.05,"[1.0, 3.0, 5.0, 7.0]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,30155.088309956423,201.5508830995642,153.7360197256392,1612,100.0,0.9977012000000007,67.15286861981784,1.8748448143290906,8789.565889971958
search:dca_level_weights,dca_level_weights,"[2, 3, 4, 5]",332.49695146319795,0.05,"[2.0, 3.0, 4.0, 5.0]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,44070.402757138116,340.7040275713811,153.7360197256392,1605,100.0,0.9977012000000005,74.71384072122119,1.9360178896652376,14328.61056174137
search:dca_level_weights,dca_level_weights,"[1, 2, 4, 6]",338.41604717814107,0.05,"[1.0, 2.0, 4.0, 6.0]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,44545.56912406995,345.45569124069954,153.7360197256392,1721,100.0,0.997701200000001,66.9309604170565,2.9355653556673302,10667.502221718
search:dca_level_weights,dca_level_weights,"[1, 2, 3, 6]",363.4105865839781,0.05,"[1.0, 2.0, 3.0, 6.0]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,47041.69485218361,370.4169485218361,153.7360197256392,1731,100.0,0.9977012000000013,66.7090795857202,3.012213620630293,11289.185478978097
search:sub_order_weights,sub_order_weights,"[1, 2, 4]",1683.3384811537278,0.05,"[8.0, 4.0, 2.0, 1.0]","[1.0, 2.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,179224.26295485866,1692.2426295485866,153.7360197256392,1377,100.0,0.997701200000001,79.36098929905843,1.6952528328090568,83771.38138243198
search:sub_order_weights,sub_order_weights,"[1, 1, 1]",1469.236353059323,0.05,"[8.0, 4.0, 2.0, 1.0]","[1.0, 1.0, 1.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,157821.47456904352,1478.2147456904352,153.7360197256392,1128,100.0,0.997701200000001,79.85595087408187,1.6714017927803342,74708.8048757778
search:sub_order_weights,sub_order_weights,"[4, 2, 1]",897.5819311725056,0.05,"[8.0, 4.0, 2.0, 1.0]","[4.0, 2.0, 1.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,100660.222229632,906.6022222963201,153.7360197256392,839,100.0,0.9977012000000004,80.1352741587628,1.6288161187219345,47679.7008097507
search:sub_order_weights,sub_order_weights,"[1, 2, 3]",1864.981433616609,0.05,"[8.0, 4.0, 2.0, 1.0]","[1.0, 2.0, 3.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,197389.66324378375,1873.8966324378375,153.7360197256392,1367,100.0,0.997701200000001,79.43465880819066,1.694712711246183,92804.13016494755
search:sub_order_weights,sub_order_weights,"[1, 3, 5]",1792.3682495964763,0.05,"[8.0, 4.0, 2.0, 1.0]","[1.0, 3.0, 5.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,190127.12007524344,1801.2712007524342,153.7360197256392,1418,100.0,0.9977012000000011,79.35300770638574,1.6980774044855873,88955.00671116117
search:sub_order_weights,sub_order_weights,"[2, 3, 4]",2033.3544235921258,0.05,"[8.0, 4.0, 2.0, 1.0]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,214228.18700786252,2042.2818700786252,153.7360197256392,1338,100.0,0.9977012000000004,79.51630990999557,1.6928438809323902,101302.17835919603
search:reentry_delay_bars,reentry_delay_bars,0,2033.3544235921258,0.05,"[8.0, 4.0, 2.0, 1.0]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,214228.18700786252,2042.2818700786252,153.7360197256392,1338,100.0,0.9977012000000004,79.51630990999557,1.6928438809323902,101302.17835919603
search:reentry_delay_bars,reentry_delay_bars,1,408.9546346809008,0.05,"[8.0, 4.0, 2.0, 1.0]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,1,51787.24342405559,417.8724342405559,153.7360197256392,819,100.0,0.9977012000000007,79.45199706436713,1.725180291234732,20198.64196891347
search:reentry_delay_bars,reentry_delay_bars,3,128.89814888189375,0.05,"[8.0, 4.0, 2.0, 1.0]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,3,23778.751333887492,137.78751333887493,153.7360197256392,557,100.0,0.9977012000000013,79.26242971320784,1.5272871761291926,8118.088357920938
search:reentry_delay_bars,reentry_delay_bars,6,274.1837881161155,0.05,"[8.0, 4.0, 2.0, 1.0]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,6,38311.123460261486,283.11123460261484,153.7360197256392,594,100.0,0.9977012000000014,79.51630990999557,2.213519100339478,10508.840262523938
search:reentry_delay_bars,reentry_delay_bars,12,155.2198460614862,0.05,"[8.0, 4.0, 2.0, 1.0]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,12,26390.702066338377,163.90702066338378,153.7360197256392,490,100.0,0.997701200000001,77.91449734598372,2.046377675524907,6529.533399488529
search:reentry_delay_bars,reentry_delay_bars,24,68.5749048509764,0.05,"[8.0, 4.0, 2.0, 1.0]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,24,17637.804270890047,76.37804270890047,153.7360197256392,474,100.0,0.9977012000000014,72.02091905282713,1.4049179150693638,5395.634156094198
final,,,2033.3544235921258,0.05,"[8.0, 4.0, 2.0, 1.0]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,214228.18700786252,2042.2818700786252,153.7360197256392,1338,100.0,0.9977012000000004,79.51630990999557,1.6928438809323902,101302.17835919603
