phase,sl,ref,tp,hold_h,crash_combo,r22_ret,r25_ret,r22_avgH,r25_avgH,r22_maxH,r25_maxH,r22_dd,r25_dd,full_score,full_param_initial_pct,full_param_dca_level_weights,full_param_sub_order_weights,full_param_dca_depths,full_param_take_profit_pct,full_param_fee_rate,full_param_capital,full_param_reentry_delay_bars,full_param_stop_loss_pct,full_param_stop_loss_ref,full_param_max_hold_bars,full_equity_final,full_total_return_pct,full_buy_hold_return_pct,full_num_cycles,full_win_rate,full_avg_pnl_pct,full_max_drawdown_pct,full_profit_factor,full_total_fees,full_avg_hold_bars,full_median_hold_bars,full_max_hold_bars_seen,full_tp_exits,full_sl_exits,full_time_exits
crash_refine,0.0,p0,0.03,0,-2135.2256563371384,-71.54047433470609,-44.814523347373594,1457.1452380952383,662.1825757575757,10002.016666666666,8166.266666666666,80.75105366406099,67.44989643884728,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.03,48,-131.82937859730794,-63.33643615558609,-55.31291529384079,25.24756600660066,28.62085789129011,48.0,48.0,71.87817831331873,60.1368659052431,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.03,72,-143.80210527388942,-61.667451561106645,-56.57946679864098,32.1767087276551,35.618622656886714,72.0,72.0,70.72884389663821,63.63625635051394,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.03,168,-180.5796686040916,-61.7896115291773,-53.71343482930024,51.25636515912898,60.700069444444445,168.0,168.0,69.47238764911376,65.90903222720968,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.4,wap,0.012,48,-114.77019366488196,-67.02724558435487,-63.05843221537879,9.392280540208718,11.372378350247203,48.0,48.0,74.27366196673191,66.85460735403781,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.4,wap,0.012,72,-119.95434820034242,-63.838629740722695,-67.607955685446,11.473584551931008,12.914908392434988,72.0,72.0,71.22846398997089,72.50347280551172,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.4,wap,0.012,168,-133.61258927441278,-65.2766845169724,-64.86318263270199,15.96246739697444,21.02166907166907,168.0,168.0,72.77977289357013,71.24046420906525,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.4,wap,0.02,0,-295.2572834860508,-63.83596032497565,-56.12052680876496,64.15104821802935,68.07484423676013,2101.85,2054.3333333333335,74.62415616335417,68.50934270222396,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.4,wap,0.02,48,-117.20443458581785,-59.6535993990031,-56.291519412689205,17.028408458542014,19.320977011494254,48.0,48.0,69.1690631520311,62.25243052549999,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.4,wap,0.02,72,-124.98121051355145,-60.02582765146182,-56.81258738171488,21.338947001394697,23.271592119275827,72.0,72.0,66.96194945377542,64.16737790826997,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.4,wap,0.02,168,-150.6416045772659,-61.81645595931477,-57.53194121945351,30.63068068068068,38.744725177304964,168.0,168.0,68.79500809948014,66.91988787559772,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.4,wap,0.03,0,-388.1584789422849,-63.37622798570002,-58.493593495510524,115.9092803030303,122.4203081232493,2127.133333333333,2506.0,74.16302625656785,70.93938951515028,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.4,wap,0.03,48,-131.82937859730794,-63.33643615558609,-55.31291529384079,25.24756600660066,28.62085789129011,48.0,48.0,71.87817831331873,60.1368659052431,,,,,,,,,,,,,,,,,,,,,,,,,,,
