stage,score_crash,score_full,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits,window,sl,ref,max_hold
combo_sweep:crash_2025_26,-63.879465880580355,-55.62806668152031,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,120,6299.959305828474,-37.00040694171527,-48.024150476882454,1006,95.32803180914513,0.6414008635427395,52.705253332132564,0.83949084697504,4516.086690392028,14.48210735586481,3.0,120.0,959,0,46,crash_2025_26,0.0,wap,120.0
combo_sweep:full,13534.369461052751,13543.019855875185,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,120,1366384.9286696312,13563.849286696313,153.7360197256392,5167,97.50338687826591,0.7939544099964166,59.139416103715305,1.1187078610448595,2895401.452603419,9.463518482678538,2.0,120.0,5037,0,129,full,0.0,wap,120.0
combo_sweep:crash_2022,14.113986048183655,20.075072486093607,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,168,13631.151690307766,36.31151690307766,-72.26310681185907,1005,98.00995024875621,0.7532627445166408,45.95583408406247,1.1497276221549104,6010.133200821117,10.150248756218906,2.0,168.0,985,0,19,crash_2022,0.0,wap,168.0
combo_sweep:crash_2025_26,-56.94258632139477,-48.84895339492236,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,168,6954.404462371506,-30.455955376284937,-48.024150476882454,848,95.99056603773585,0.6578758843506858,51.91655363815545,0.8596940154805672,4269.64345769694,17.180424528301888,3.5,168.0,814,0,33,crash_2025_26,0.0,wap,168.0
combo_sweep:full,10987.693446200381,10995.386639381346,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,168,1111453.6876864997,11014.536876864997,153.7360197256392,4655,98.02363050483352,0.8087617851282137,54.2708384142375,1.1278728468504797,2154226.9491173173,10.504403866809882,2.0,168.0,4562,0,92,full,0.0,wap,168.0
combo_sweep:crash_2022,-69.69747026478011,-57.85959077832351,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,336,6657.885429761942,-33.421145702380585,-72.26310681185907,701,98.14550641940085,0.6843063629536803,69.12035540344809,0.7889707596563692,2704.7670531427066,14.552068473609129,2.0,336.0,687,0,13,crash_2022,0.0,wap,336.0
combo_sweep:crash_2025_26,-71.1455494123655,-61.19295588860724,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,336,5998.651497286847,-40.01348502713152,-48.024150476882454,750,97.46666666666667,0.657565563284612,59.66976436612109,0.803604227599767,3592.3278467975992,19.425333333333334,3.0,336.0,731,0,18,crash_2025_26,0.0,wap,336.0
combo_sweep:full,3532.547313880456,3543.3747424428143,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,336,366779.06806704996,3567.7906806704996,153.7360197256392,3975,98.66666666666667,0.8124987669422594,69.12035540344799,1.1182854516029945,724003.5950702709,12.301383647798742,2.0,336.0,3922,0,52,full,0.0,wap,336.0
combo_sweep:crash_2022,51.79302395542009,52.68937070359824,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,0,16011.352627075134,60.11352627075133,-72.26310681185907,2571,84.63632827693505,0.5858943910009135,21.050509710674635,1.130877454124578,15934.756244562255,3.967716841695838,2.0,56.0,2175,395,0,crash_2022,0.030000000000000002,p0,0.0
combo_sweep:crash_2025_26,50.95346599896874,50.6699523850655,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,0,15588.956251401303,55.88956251401302,-48.024150476882454,2596,84.51463790446842,0.5821402993622807,14.697969067519011,1.1080094609076356,17678.890147919657,5.612095531587057,3.0,64.0,2192,403,0,crash_2025_26,0.030000000000000002,p0,0.0
combo_sweep:full,1106.9026470644228,1109.787956236554,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,0,122046.49007825335,1120.4649007825335,153.7360197256392,10273,84.74642266134528,0.5915003069141458,30.201559961854862,1.1132671265234206,339975.2924269129,4.7598559330283265,2.0,196.0,8697,1575,0,full,0.030000000000000002,p0,0.0
combo_sweep:crash_2022,61.89717852108491,62.72998006887347,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,24,17018.682639986586,70.18682639986586,-72.26310681185907,2592,84.29783950617285,0.5841950790723057,21.172258917473844,1.1526019818609143,16425.34365466278,3.935570987654321,2.0,24.0,2172,384,36,crash_2022,0.030000000000000002,p0,24.0
combo_sweep:crash_2025_26,23.805911567239463,23.928414907244264,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,24,12965.803993189567,29.658039931895665,-48.024150476882454,2681,83.14061917195077,0.5628749761122679,16.19452388883721,1.0625143671070045,16381.992014621088,5.434166355837374,3.0,24.0,2188,391,101,crash_2025_26,0.030000000000000002,p0,24.0
combo_sweep:full,1001.5702072843525,1004.4114465586593,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,24,111510.9214387771,1015.109214387771,153.7360197256392,10553,83.59708139865441,0.5790842312010295,30.412091971305266,1.1014382530362747,355364.05571054196,4.633563915474273,2.0,24.0,8698,1514,340,full,0.030000000000000002,p0,24.0
combo_sweep:crash_2022,50.14629102353565,51.04846176138511,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,48,15847.017108475216,58.47017108475217,-72.26310681185907,2574,84.57653457653458,0.5850484472552607,21.050509710674635,1.127054042972129,15939.074800605495,3.963092463092463,2.0,48.0,2176,395,2,crash_2022,0.030000000000000002,p0,48.0
combo_sweep:crash_2025_26,47.90568845474203,47.626076694966066,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,48,15284.080048398235,52.84080048398234,-48.024150476882454,2600,84.46153846153847,0.5801708222076496,14.697969067519011,1.1029467295547923,17542.14699554795,5.603461538461539,3.0,48.0,2188,403,8,crash_2025_26,0.030000000000000002,p0,48.0
combo_sweep:full,1178.6194776671969,1181.2245626182919,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,48,129156.26212735721,1191.5626212735722,153.7360197256392,10309,84.65418566301291,0.5907876989095705,29.360646613163038,1.1160255707369608,355828.86157965136,4.7432340673198174,2.0,48.0,8693,1562,53,full,0.030000000000000002,p0,48.0
combo_sweep:crash_2022,51.79302395542009,52.68937070359824,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,72,16011.352627075134,60.11352627075133,-72.26310681185907,2571,84.63632827693505,0.5858943910009135,21.050509710674635,1.130877454124578,15934.756244562255,3.967716841695838,2.0,56.0,2175,395,0,crash_2022,0.030000000000000002,p0,72.0
combo_sweep:crash_2025_26,50.95346599896874,50.6699523850655,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,72,15588.956251401303,55.88956251401302,-48.024150476882454,2596,84.51463790446842,0.5821402993622807,14.697969067519011,1.1080094609076356,17678.890147919657,5.612095531587057,3.0,64.0,2192,403,0,crash_2025_26,0.030000000000000002,p0,72.0
