entry_time,exit_time,p0,avg_entry,pnl,pnl_pct,hold_bars,reason,fills
2021-07-24 15:26:00+00:00,2021-07-26 00:13:00+00:00,2169.54,2153.4298749480167,58.76082096540267,0.02295102500000008,1968,take_profit,4
2021-07-26 00:14:00+00:00,2021-07-26 01:00:00+00:00,2211.8,2211.8,38.07642015563192,0.022951024999999858,47,take_profit,1
2021-07-26 01:01:00+00:00,2021-07-26 04:48:00+00:00,2284.59,2284.59,38.1463315853041,0.022951024999999844,228,take_profit,1
2021-07-26 04:49:00+00:00,2021-07-26 19:10:00+00:00,2340.77,2338.438353832828,42.401973957599466,0.022951024999999865,862,take_profit,2
2021-07-26 19:11:00+00:00,2021-07-29 23:03:00+00:00,2391.96,2297.33841765437,143.1474596676435,0.022951025000000017,4553,take_profit,8
2021-07-29 23:04:00+00:00,2021-07-30 01:45:00+00:00,2361.1,2361.1,38.55705535328343,0.02295102499999986,162,take_profit,1
2021-07-30 01:46:00+00:00,2021-07-30 21:48:00+00:00,2426.92,2396.5934175827433,76.70387211905927,0.022951025000000104,1203,take_profit,5
2021-07-30 21:49:00+00:00,2021-07-31 21:14:00+00:00,2458.81,2456.3607739281074,43.01477781491349,0.022951024999999795,1406,take_profit,2
2021-07-31 21:15:00+00:00,2021-08-01 01:11:00+00:00,2517.45,2517.45,38.84766252679856,0.022951024999999795,237,take_profit,1
2021-08-01 01:12:00+00:00,2021-08-01 19:34:00+00:00,2574.83,2572.2652061498484,43.181546070593186,0.02295102499999992,1103,take_profit,2
2021-08-01 19:35:00+00:00,2021-08-04 13:38:00+00:00,2634.29,2564.597084649654,111.60934858565633,0.02295102500000035,3964,take_profit,7
2021-08-04 13:39:00+00:00,2021-08-04 15:12:00+00:00,2627.25,2627.25,39.20319879614863,0.022951024999999965,94,take_profit,1
2021-08-04 15:13:00+00:00,2021-08-04 22:30:00+00:00,2695.49,2692.8050164573406,43.57674631678833,0.022951024999999958,438,take_profit,2
2021-08-04 22:31:00+00:00,2021-08-05 14:05:00+00:00,2764.98,2655.602425645069,147.11344670102426,0.022951024999999885,935,take_profit,8
2021-08-05 14:06:00+00:00,2021-08-05 14:15:00+00:00,2740.51,2740.51,39.62530191477708,0.02295102499999991,10,take_profit,1
2021-08-05 14:16:00+00:00,2021-08-06 16:01:00+00:00,2815.15,2779.972129080505,78.82899933361477,0.02295102499999978,1546,take_profit,5
2021-08-06 16:02:00+00:00,2021-08-06 18:07:00+00:00,2847.27,2847.27,39.842793725121965,0.022951024999999986,126,take_profit,1
2021-08-06 18:08:00+00:00,2021-08-07 09:04:00+00:00,2918.91,2916.0024673018625,44.28769508681876,0.02295102500000004,897,take_profit,2
2021-08-07 09:05:00+00:00,2021-08-07 10:07:00+00:00,2993.94,2993.94,39.99726420128036,0.02295102499999975,63,take_profit,1
2021-08-07 10:08:00+00:00,2021-08-07 12:07:00+00:00,3069.26,3069.26,40.07070245812997,0.022951024999999976,120,take_profit,1
2021-08-07 12:08:00+00:00,2021-08-08 00:23:00+00:00,3139.36,3100.1308289612184,79.71506145651483,0.0229510249999999,736,take_profit,5
2021-08-08 00:24:00+00:00,2021-08-09 11:15:00+00:00,3184.63,3058.6518357391574,150.61024557305245,0.022951024999999795,2092,take_profit,8
2021-08-09 11:16:00+00:00,2021-08-10 00:05:00+00:00,3124.64,3101.4376893062913,62.782527637177736,0.0229510250000002,770,take_profit,4
2021-08-10 00:06:00+00:00,2021-08-10 13:35:00+00:00,3176.56,3152.972152421653,62.96092767239361,0.022951024999999972,810,take_profit,4
2021-08-10 13:36:00+00:00,2021-08-11 07:05:00+00:00,3229.79,3164.7550172543133,98.88669486884282,0.022951024999999604,1050,take_profit,6
2021-08-11 07:06:00+00:00,2021-08-13 07:00:00+00:00,3238.82,3110.698178007712,153.1856890349809,0.022951024999999767,2605,take_profit,8
2021-08-13 07:01:00+00:00,2021-08-13 20:13:00+00:00,3199.39,3199.39,41.260872565716454,0.022951024999999813,793,take_profit,1
2021-08-13 20:14:00+00:00,2021-08-15 23:08:00+00:00,3277.01,3236.060766466478,82.08273852354705,0.022951024999999892,3055,take_profit,5
2021-08-15 23:09:00+00:00,2021-08-20 14:15:00+00:00,3316.29,3185.103605864232,155.08363388873386,0.022951024999999767,6667,take_profit,8
2021-08-20 14:16:00+00:00,2021-08-23 02:56:00+00:00,3260.36,3219.618823426431,82.94743152536785,0.02295102500000005,3641,take_profit,5
2021-08-23 02:57:00+00:00,2021-08-30 17:59:00+00:00,3299.46,3212.16931200367,119.98360023240275,0.022951024999999826,10983,take_profit,7
2021-08-30 18:00:00+00:00,2021-08-31 07:40:00+00:00,3290.71,3249.5895724513825,83.68730472589095,0.022951025000000083,821,take_profit,5
2021-08-31 07:41:00+00:00,2021-08-31 11:35:00+00:00,3333.41,3333.41,42.298342587017714,0.02295102499999981,235,take_profit,1
2021-08-31 11:36:00+00:00,2021-09-01 05:13:00+00:00,3419.24,3404.947777560315,56.29955057942698,0.022951025,1058,take_profit,3
2021-09-01 05:14:00+00:00,2021-09-01 15:58:00+00:00,3494.64,3494.64,42.47937640389864,0.02295102499999986,645,take_profit,1
2021-09-01 15:59:00+00:00,2021-09-01 16:32:00+00:00,3582.8,3582.7999999999997,42.557372022285335,0.022951025000000007,34,take_profit,1
2021-09-01 16:33:00+00:00,2021-09-01 16:46:00+00:00,3651.13,3651.13,42.63551084702249,0.02295102499999986,14,take_profit,1
2021-09-01 16:47:00+00:00,2021-09-03 08:48:00+00:00,3790.0,3761.856995516554,66.10467986114827,0.022951024999999937,2402,take_profit,4
2021-09-03 08:49:00+00:00,2021-09-03 09:16:00+00:00,3850.89,3850.89,42.835166753858175,0.02295102499999978,28,take_profit,1
2021-09-03 09:17:00+00:00,2021-09-07 16:45:00+00:00,3950.15,3448.9551798728344,386.01998918950994,0.02295102500000005,6209,take_profit,12
2021-09-07 16:46:00+00:00,2021-09-08 02:20:00+00:00,3543.02,3449.285675781867,124.84366938934363,0.02295102499999985,575,take_profit,7
2021-09-08 02:21:00+00:00,2021-09-08 16:41:00+00:00,3537.28,3397.3516438403863,163.92221672557753,0.022951024999999917,861,take_profit,8
2021-09-08 16:42:00+00:00,2021-09-09 08:27:00+00:00,3481.85,3478.38172152447,48.98855826122235,0.02295102499999995,946,take_profit,2
2021-09-09 08:28:00+00:00,2021-09-14 22:52:00+00:00,3563.68,3327.8042843746202,242.91362734696668,0.022951024999999813,8065,take_profit,10
2021-09-14 22:53:00+00:00,2021-09-15 15:15:00+00:00,3418.05,3414.645272845388,49.583214591032174,0.022951024999999844,983,take_profit,2
